year,mon,dy,hr,minutes,seconds,lon,lat,dep,mag,evid
2012,1,16,1,57,11.02,121.7325,24.2250,11.83,3.25,13160156.P12
2012,1,16,2,51,46.68,121.7480,24.8118,88.42,3.74,13160251.P12
2012,1,16,4,4,2.33,121.9207,23.7305,33.46,3.24,13160403.P12
2012,1,16,4,11,6.60,121.8098,24.4108,12.62,3.25,13160410.P12
2012,1,16,4,13,4.37,121.7008,24.2480,4.27,3.08,13160412.P12
2012,1,16,4,19,29.36,122.3800,24.0925,24.59,3.70,13160418.P12
2012,1,16,9,55,44.63,121.9168,24.4117,20.44,4.34,13160955.P12
2012,1,16,9,57,53.71,121.8962,24.4290,18.20,3.05,13160957.P12
2012,1,16,15,38,41.73,120.8987,23.8400,16.06,3.35,13161538.P12
2012,1,16,15,40,45.02,121.4937,21.3250,45.40,4.72,13161540.P12
2012,1,16,22,2,10.20,121.7348,24.2342,11.12,3.34,13162201.P12
2012,1,17,4,58,2.21,121.7348,24.2352,9.89,3.01,13170457.P12
2012,1,17,12,25,51.18,121.6010,23.9773,8.14,3.03,13171225.P12
2012,1,17,20,4,39.92,121.8315,24.8288,92.71,3.21,13172004.P12
2012,1,18,4,37,32.82,122.3153,22.1168,23.57,3.65,13180437.P12
2012,1,18,6,36,46.72,122.0878,24.9117,12.23,4.08,13180636.P12
2012,1,18,6,57,4.28,120.6222,23.5092,9.09,4.16,13180656.P12
2012,1,18,20,55,18.70,122.5173,24.2945,56.28,4.44,13182055.P12
2012,1,18,22,52,30.33,121.7285,24.2282,11.00,3.17,13182252.P12
2012,1,19,16,59,38.43,122.4610,24.0168,43.65,3.00,13191658.P12
2012,1,19,21,30,49.51,122.7273,22.9857,49.29,4.29,13192130.P12
2012,1,19,22,6,56.87,122.0497,24.5205,13.84,4.39,13192206.P12
2012,1,19,23,57,43.37,121.4288,21.1877,82.91,3.45,13192357.P12
2012,1,20,0,20,14.22,120.6050,22.9762,16.06,3.51,13200020.P12
2012,1,20,4,36,52.45,121.9998,24.5318,12.12,3.00,13200436.P12
2012,1,21,0,50,1.76,122.2160,24.0702,18.18,4.87,13210049.P12
2012,1,21,7,45,19.82,121.7442,24.2155,14.23,3.33,13210745.P12
2012,1,21,13,3,46.97,121.9797,21.0927,103.53,3.56,13211303.P12
2012,1,21,15,39,18.73,120.4240,22.4003,30.38,3.45,13211539.P12
2012,1,22,5,12,41.99,122.5697,23.0123,63.11,4.08,13220512.P12
2012,1,22,7,24,56.65,122.0588,24.5200,11.85,3.01,13220724.P12
2012,1,22,7,50,41.82,120.1232,21.7643,50.87,3.35,13220749.P12
2012,1,22,15,28,54.04,121.4340,22.9837,12.92,3.19,13221528.P12
2012,1,23,8,20,30.53,122.0283,24.5162,8.07,3.12,13230820.P12
2012,1,23,8,54,39.02,121.1063,23.9602,7.77,3.72,13230854.P12
2012,1,24,8,1,32.37,121.6637,23.9018,23.96,3.19,13240801.P12
2012,1,24,10,26,17.17,121.8958,23.5683,22.70,4.20,13241026.P12
2012,1,24,20,13,9.20,121.6995,24.0125,34.20,3.21,13242012.P12
2012,1,24,23,45,47.48,120.6640,22.8428,18.28,3.10,13242345.P12
2012,1,25,2,5,35.41,121.5590,23.2543,37.67,4.12,13250204.P12
2012,1,25,8,36,23.22,122.2092,24.8892,124.55,4.99,13250836.P12
2012,1,26,15,16,55.17,121.6315,23.9518,7.77,3.66,13261516.P12
2012,1,27,1,55,25.75,121.9477,24.3998,19.01,3.26,13270155.P12
2012,1,27,10,41,15.85,121.1850,23.2387,13.96,3.09,13271040.P12
2012,1,27,21,33,14.33,122.0265,24.2190,42.32,3.55,13272132.P12
2012,1,27,22,55,8.45,121.8867,24.5077,30.70,3.18,13272254.P12
2012,1,28,0,26,48.69,122.6203,25.1978,195.58,3.63,13280026.P12
2012,1,28,8,11,9.53,121.6460,23.8713,45.95,3.14,13280810.P12
2012,1,28,9,3,42.78,122.7967,23.0027,95.01,3.47,13280903.P12
2012,1,29,8,7,39.02,122.3932,25.2878,267.76,5.54,13290807.P12
2012,1,29,12,13,56.20,121.3247,22.5920,27.93,3.11,13291213.P12
2012,1,29,17,17,56.92,121.7572,24.2827,56.48,3.19,13291717.P12
2012,1,30,2,17,22.36,122.1810,22.1328,48.48,3.58,13300216.P12
2012,1,30,16,17,55.61,120.6488,22.9052,8.06,3.19,13301616.P12
2012,2,1,3,43,1.45,121.6338,23.8027,36.49,3.76,14010342.P12
