stlo:  120.6328
stla:   22.6119
stel:    139.00
     T           E           N           Z
 9.0000e-01  1.0720e+03 -4.6270e+03 -1.0610e+03
 9.1000e-01  1.0760e+03 -4.6450e+03 -1.0670e+03
 9.2000e-01  1.0630e+03 -4.6470e+03 -1.0750e+03
 9.3000e-01  1.0250e+03 -4.6200e+03 -1.0920e+03
 9.4000e-01  9.8500e+02 -4.5420e+03 -1.0950e+03
 9.5000e-01  1.0110e+03 -4.5150e+03 -1.0840e+03
 9.6000e-01  1.0020e+03 -4.4980e+03 -1.0870e+03
 9.7000e-01  9.8600e+02 -4.4500e+03 -1.1110e+03
 9.8000e-01  9.4000e+02 -4.4280e+03 -1.1180e+03
 9.9000e-01  8.6400e+02 -4.4090e+03 -1.1050e+03
 1.0000e+00  8.4300e+02 -4.4040e+03 -1.1100e+03
 1.0100e+00  8.0100e+02 -4.3730e+03 -1.1020e+03
 1.0200e+00  7.6000e+02 -4.3110e+03 -1.0550e+03
 1.0300e+00  7.3200e+02 -4.2450e+03 -1.0200e+03
 1.0400e+00  6.9500e+02 -4.1740e+03 -1.0500e+03
 1.0500e+00  6.5600e+02 -4.1770e+03 -1.1130e+03
 1.0600e+00  6.0100e+02 -4.1840e+03 -1.1470e+03
 1.0700e+00  5.5700e+02 -4.1530e+03 -1.1470e+03
 1.0800e+00  5.0600e+02 -4.1420e+03 -1.1340e+03
 1.0900e+00  4.5400e+02 -4.1070e+03 -1.1310e+03
 1.1000e+00  4.2100e+02 -4.0310e+03 -1.1060e+03
 1.1100e+00  3.8900e+02 -3.9550e+03 -1.0910e+03
 1.1200e+00  3.3300e+02 -3.9760e+03 -1.1040e+03
 1.1300e+00  2.7000e+02 -3.9940e+03 -1.1230e+03
 1.1400e+00  2.4900e+02 -3.9310e+03 -1.1430e+03
 1.1500e+00  2.2800e+02 -3.9120e+03 -1.1140e+03
 1.1600e+00  1.8900e+02 -3.9240e+03 -1.0760e+03
 1.1700e+00  1.2400e+02 -3.8700e+03 -1.0620e+03
 1.1800e+00  6.0000e+01 -3.7880e+03 -1.0780e+03
 1.1900e+00  2.1000e+01 -3.7400e+03 -1.0970e+03
 1.2000e+00  1.0000e+01 -3.7240e+03 -1.0790e+03
 1.2100e+00  1.6000e+01 -3.7360e+03 -1.0990e+03
 1.2200e+00 -5.7000e+01 -3.7190e+03 -1.1310e+03
 1.2300e+00 -1.5600e+02 -3.6950e+03 -1.1500e+03
 1.2400e+00 -1.9500e+02 -3.6780e+03 -1.1700e+03
 1.2500e+00 -2.6300e+02 -3.6070e+03 -1.1730e+03
 1.2600e+00 -3.5000e+02 -3.5580e+03 -1.1960e+03
 1.2700e+00 -3.9200e+02 -3.5630e+03 -1.2050e+03
 1.2800e+00 -4.4600e+02 -3.5540e+03 -1.2440e+03
 1.2900e+00 -5.2900e+02 -3.5060e+03 -1.2670e+03
 1.3000e+00 -5.8200e+02 -3.4710e+03 -1.2680e+03
 1.3100e+00 -6.1600e+02 -3.4370e+03 -1.3270e+03
 1.3200e+00 -6.8500e+02 -3.3650e+03 -1.3270e+03
 1.3300e+00 -7.6000e+02 -3.3530e+03 -1.3430e+03
 1.3400e+00 -8.1200e+02 -3.3650e+03 -1.4010e+03
 1.3500e+00 -8.6200e+02 -3.3090e+03 -1.3980e+03
 1.3600e+00 -8.9400e+02 -3.2490e+03 -1.3890e+03
 1.3700e+00 -9.3200e+02 -3.2360e+03 -1.4060e+03
 1.3800e+00 -9.9800e+02 -3.2170e+03 -1.4300e+03
 1.3900e+00 -1.0590e+03 -3.1390e+03 -1.4140e+03
 1.4000e+00 -1.0980e+03 -3.0890e+03 -1.4140e+03
 1.4100e+00 -1.1600e+03 -3.0820e+03 -1.4350e+03
 1.4200e+00 -1.2400e+03 -3.0770e+03 -1.4360e+03
 1.4300e+00 -1.2770e+03 -3.0670e+03 -1.4420e+03
 1.4400e+00 -1.3400e+03 -3.0260e+03 -1.4600e+03
 1.4500e+00 -1.4050e+03 -2.9840e+03 -1.4800e+03
 1.4600e+00 -1.4340e+03 -2.9470e+03 -1.4730e+03
 1.4700e+00 -1.5220e+03 -2.9340e+03 -1.4940e+03
 1.4800e+00 -1.5970e+03 -2.9430e+03 -1.5340e+03
 1.4900e+00 -1.6190e+03 -2.9690e+03 -1.5680e+03
 1.5000e+00 -1.6830e+03 -2.9820e+03 -1.5760e+03
 1.5100e+00 -1.7360e+03 -2.9110e+03 -1.5440e+03
 1.5200e+00 -1.7140e+03 -2.8560e+03 -1.5660e+03
 1.5300e+00 -1.7050e+03 -2.8860e+03 -1.6060e+03
 1.5400e+00 -1.7810e+03 -2.8990e+03 -1.6050e+03
 1.5500e+00 -1.8590e+03 -2.8480e+03 -1.5930e+03
 1.5600e+00 -1.8400e+03 -2.8180e+03 -1.5960e+03
 1.5700e+00 -1.8420e+03 -2.7970e+03 -1.6380e+03
 1.5800e+00 -1.9000e+03 -2.7580e+03 -1.6580e+03
 1.5900e+00 -1.9310e+03 -2.7680e+03 -1.6600e+03
 1.6000e+00 -1.9480e+03 -2.7780e+03 -1.6950e+03
 1.6100e+00 -1.9520e+03 -2.7320e+03 -1.6850e+03
 1.6200e+00 -1.9580e+03 -2.6790e+03 -1.6920e+03
 1.6300e+00 -1.9380e+03 -2.6880e+03 -1.7510e+03
 1.6400e+00 -1.9370e+03 -2.7100e+03 -1.7510e+03
 1.6500e+00 -1.9790e+03 -2.6790e+03 -1.7380e+03
 1.6600e+00 -1.9710e+03 -2.6620e+03 -1.7260e+03
 1.6700e+00 -1.9850e+03 -2.6930e+03 -1.7410e+03
 1.6800e+00 -2.0200e+03 -2.6700e+03 -1.7400e+03
 1.6900e+00 -2.0010e+03 -2.6230e+03 -1.6850e+03
 1.7000e+00 -1.9930e+03 -2.6490e+03 -1.6900e+03
 1.7100e+00 -1.9890e+03 -2.6910e+03 -1.6940e+03
 1.7200e+00 -1.9970e+03 -2.6850e+03 -1.6720e+03
